iteration,particle_id,units,lr,batch,dropout,cost
1,1,29.295985513024853,0.009149313937361122,60.1076883480211,0.1445223117848506,149039034.7646735
1,2,43.575024862684245,0.0010976943780094083,85.09815418869277,0.0739237538006761,9615534320.680923
1,3,51.32549647200191,0.002575234668981298,16.069002015773314,0.3392138620938218,130459236.9201055
1,4,59.75721336342258,0.006929966328980416,50.86610165333944,0.49782063101518137,142039337.8488916
1,5,19.15955882595953,0.006756234547491812,101.32124239612153,0.442812037806603,240098128.2198017
1,6,63.7342942150497,0.008183808946160722,116.02222524917713,0.30548961177441575,125306348.80220018
1,7,121.5652587706983,0.0012091438630605375,124.29440852623416,0.04037076817217021,22557570974.682224
1,8,44.478038635697544,0.005896294398414842,101.07053478720985,0.21563826148589535,151459844.98836476
1,9,76.59133356470323,0.000556376803616062,58.65648093083027,0.2636890699344692,34499484829.59503
1,10,40.32161288344625,0.007609449975403584,33.65653167388837,0.10667670141620124,260107790.23858178
1,11,95.48599909987958,0.008622698299225394,71.53267574788967,0.47838566658289816,132200481.9669805
1,12,58.34639131575145,0.0002645709031877037,86.13703891229615,0.18115038357833052,62522823245.21005
1,13,126.42728701619117,0.003047379520044878,26.037336772910095,0.16798136691495508,131267423.72694646
1,14,19.36242396193117,0.0037864261349744143,80.42216723716423,0.43536865055720564,3974987523.1753807
1,15,88.55393801400633,0.00024627814233929503,67.5929865162278,0.27516604854937093,59128170477.49261
1,16,49.28406792024736,0.0009100001529838094,33.803965854384764,0.1582345711590442,1552564584.3076422
1,17,104.23936010139866,0.004956302954496922,22.12447897834153,0.22119316598680147,138265932.54078194
1,18,61.157834135803455,0.0061794350247218275,25.250441928800704,0.30949523779421567,162381323.21360847
1,19,95.11903041509451,0.0015103775537269686,98.58766123502006,0.4920861221258206,6645698937.753957
1,20,105.27166273750817,0.002024033628614138,26.205834957675524,0.15986517881412748,145808546.84396705
2,1,82.25427853701808,0.01,96.24779537980572,0.5,120753762.32368456
2,2,48.309428667291876,0.01,128.0,0.5,394169219.91127473
2,3,54.940926970398415,0.01,128.0,0.5,156993402.46132144
2,4,67.79613014094764,0.01,128.0,0.5,156308241.90815306
2,5,35.815895975436945,0.01,125.71301781914848,0.5,147716232.7476963
2,6,64.42326314567529,0.01,116.42966705014116,0.3215807226953605,119534702.03104968
2,7,29.10997809401995,0.01,111.9014586398792,0.5,267730093.9843917
2,8,70.90671539049653,0.01,123.91686837444468,0.5,114824320.43965346
2,9,73.42171442418865,0.01,68.85552584246773,0.4062544092347473,149813210.0224526
2,10,55.06442461377716,0.01,128.0,0.5,116327993.50529182
2,11,84.59825178954661,0.01,104.82742415686411,0.4099094151116755,134260342.46572852
2,12,63.75411814685446,0.01,128.0,0.5,174161670.7186832
2,13,68.1389131450683,0.01,67.34700987296884,0.3169267071971146,131758548.83547013
2,14,101.21488569052195,0.01,123.36770349080766,0.5,147840638.97157118
2,15,72.9077159588386,0.01,128.0,0.5,142890633.54709202
2,16,59.926985685451776,0.01,113.99668007997994,0.5,141597357.38696915
2,17,71.58634282067695,0.01,118.92079295537629,0.5,134257795.8962006
2,18,65.43282615266901,0.01,122.19369668789034,0.5,117256325.09052819
2,19,74.86198244093916,0.01,128.0,0.5,114516677.4136118
2,20,34.72251727219782,0.01,128.0,0.4323788188648622,129442956.16185898
3,1,109.99746357985288,0.01,128.0,0.5,176008610.9936899
3,2,53.26637133333186,0.01,128.0,0.5,193642271.37388155
3,3,82.94176401188695,0.01,55.64651361392639,0.4669352488036177,118405773.46527779
3,4,73.34981441774796,0.01,78.72014547910062,0.5,133708732.02073318
3,5,72.97892385481381,0.01,128.0,0.5,125994546.92843552
3,6,72.6431318497825,0.01,122.68988254278887,0.34376323908537226,131680864.17023908
3,7,16.0,0.01,128.0,0.5,167574523.98350695
3,8,97.26607333890611,0.01,128.0,0.5,149316908.39312902
3,9,72.10118976112446,0.01,128.0,0.5,159161677.40645033
3,10,67.32903701225091,0.01,128.0,0.5,118198889.09416735
3,11,65.18062482497317,0.01,111.41590375958457,0.5,157984838.81896034
3,12,70.68012010871134,0.01,128.0,0.5,114504616.58845821
3,13,45.11075113475765,0.01,128.0,0.414840858068403,125540417.88865522
3,14,128.0,0.01,128.0,0.5,159349078.73878205
3,15,65.85390074543591,0.01,128.0,0.5,148539906.4344618
3,16,89.91992139541213,0.01,128.0,0.5,144388839.9853599
3,17,51.99150779404853,0.01,128.0,0.5,383833213.064353
3,18,78.66589837385891,0.01,128.0,0.5,147517847.97390825
3,19,60.68204885903042,0.01,128.0,0.5,143992829.4657118
3,20,55.293954672930404,0.01,128.0,0.5,155526544.12922344
4,1,58.14299778466085,0.01,126.69399800008026,0.5,194202005.8523638
4,2,82.72086477976097,0.01,128.0,0.5,186469213.4614383
4,3,85.56354764143609,0.01,41.96513190658604,0.4558477229757359,111012279.47996798
4,4,74.52116401555796,0.01,75.28792854680782,0.5,144381634.74724564
4,5,97.60794287867716,0.01,128.0,0.5,112048855.63199455
4,6,63.46530463851409,0.01,117.21707988521727,0.41099082239108486,114907072.23060231
4,7,20.215177606653,0.01,128.0,0.5,399271128.55054754
4,8,20.044314986370736,0.01,128.0,0.5,233932331.43012154
4,9,71.71136689676659,0.01,128.0,0.5,113688597.71110445
4,10,54.902782533150585,0.01,128.0,0.5,187724734.1456497
4,11,78.10910711267013,0.01,86.4925905582979,0.5,137310940.03121662
4,12,75.52832148201115,0.01,128.0,0.5,143535811.30133215
4,13,47.06377522625375,0.01,128.0,0.5,124229323.16649975
4,14,26.662388611152437,0.01,128.0,0.5,174534741.9558961
4,15,73.98228122022384,0.01,128.0,0.5,231113626.3258881
4,16,43.64807112640586,0.01,128.0,0.5,244890192.72669604
4,17,79.08061603100552,0.01,128.0,0.5,222401155.43664864
4,18,54.361399810046365,0.01,128.0,0.5,152508574.30817643
4,19,68.90811518029405,0.01,128.0,0.5,121185518.89733577
4,20,78.51577320228172,0.01,128.0,0.5,146986710.612096
5,1,103.62725760205271,0.01,70.75952586742632,0.5,114804425.80664064
5,2,103.6389777920117,0.01,114.06632818034721,0.5,111799598.90195982
5,3,87.39879618212049,0.01,32.38816471144779,0.4480864548962186,158376836.86097756
5,4,77.15838580773723,0.01,27.395094272327732,0.5,149203888.8553686
5,5,110.63570632325087,0.01,94.75827266000383,0.5,114651207.15641695
5,6,92.65262933711757,0.01,16.0,0.4741697585027034,140738611.25106838
5,7,128.0,0.01,16.0,0.5,117889213.1469685
5,8,99.02781477003832,0.01,16.0,0.5,122374842.15179287
5,9,88.55035619269125,0.01,16.0,0.42684401905126224,634722340.5137053
5,10,50.238085495721556,0.01,128.0,0.5,178145628.95719817
5,11,104.05680515306814,0.01,16.0,0.46938162564053887,210099388.7921007
5,12,76.94580236494228,0.01,46.39146364719372,0.5,334290357.4330429
5,13,110.25588672845922,0.01,128.0,0.5,127496068.87356439
5,14,128.0,0.01,19.318215865741877,0.5,178427292.47299013
5,15,86.09978878678172,0.01,128.0,0.5,148799049.79919538
5,16,74.24455175441628,0.01,16.0,0.5,123633314.0859542
5,17,90.19360014708602,0.01,78.71310325752546,0.5,128351780.98859845
5,18,84.49730156686144,0.01,114.87183314283115,0.5,112662605.29655784
5,19,103.57042228251882,0.01,116.76881343005148,0.5,179846224.83024505
5,20,69.91260758319142,0.01,32.16243074975097,0.47104415700282154,116814438.56248333
6,1,101.61343252840565,0.01,16.0,0.5,149699927.26091745
6,2,104.87943763877226,0.01,16.0,0.5,156734069.4702858
6,3,83.24757219480179,0.01,43.372028297756884,0.45954834284968704,126413579.15658386
6,4,89.61098571326016,0.01,95.36270562440237,0.5,242177986.65284458
6,5,82.33331403413747,0.01,47.602894389750354,0.5,122685282.70893429
6,6,89.82161326323246,0.01,17.105175398523684,0.47782336415534205,184379664.1791199
6,7,128.0,0.01,16.0,0.5,380888515.7146601
6,8,123.43579928358953,0.01,128.0,0.5,120532976.16907053
6,9,80.98029285401482,0.01,126.57001605540923,0.5,173562608.48425815
6,10,105.08500627785764,0.01,16.0,0.5,271396646.27458936
6,11,71.44133732449421,0.01,47.96828219708982,0.43727766624966646,154272494.81068042
6,12,80.21678433441619,0.01,128.0,0.5,140408828.2583133
6,13,84.56164872147025,0.01,70.9944793543212,0.5,123961455.05458738
6,14,128.0,0.01,128.0,0.4743862682170512,112842718.93709938
6,15,75.74092393802755,0.01,86.32917133619767,0.5,188470843.76300415
6,16,96.23342719426661,0.01,16.0,0.5,584174559.6542468
6,17,94.3183209952151,0.01,16.0,0.4800461868757997,201295411.98088607
6,18,105.89937308786226,0.01,79.31182139800677,0.5,113451899.73157053
6,19,85.37018262780761,0.01,58.72675126518289,0.5,141840223.79999667
6,20,94.59698186505949,0.01,16.0,0.443754977117961,115770698.87004209
7,1,85.69448440410387,0.01,18.25212475379271,0.5,123937700.51984842
7,2,100.64545231285368,0.01,73.85661736420127,0.5,119718992.22285658
7,3,86.00496345667113,0.01,48.4951525058481,0.4628105799996516,119781214.94696514
7,4,96.07681887404509,0.01,113.06958137676986,0.48103513912619145,115088050.42332734
7,5,76.88918556095851,0.01,126.47633932315955,0.47616158877215453,132594444.58585404
7,6,47.35331306519565,0.01,128.0,0.400434837899719,130841155.29849426
7,7,128.0,0.01,16.0,0.47181227550029187,273011929.887303
7,8,65.74823709347731,0.01,128.0,0.48019895784687494,112343214.98308963
7,9,75.13011862459547,0.01,101.6656109285814,0.49671559548238386,133835473.1407252
7,10,128.0,0.01,125.46712736841067,0.4867015251722693,265395080.9166166
7,11,87.8960679265237,0.01,110.23735429173092,0.4388542856288693,135587120.4737914
7,12,79.6854039735284,0.01,112.23669352984129,0.4837263097282629,122214537.18496263
7,13,67.63317229822765,0.01,29.48882498791955,0.5,213740057.6084068
7,14,121.16915860715721,0.01,128.0,0.431721677977474,125007956.37656918
7,15,82.78342802756178,0.01,16.0,0.47569805769467327,149188656.45384285
7,16,67.16004152348002,0.01,40.40748278969315,0.5,221889575.5910624
7,17,79.9471998657214,0.01,50.360715686852146,0.4476374924105447,121423855.65130877
7,18,91.98989324965503,0.01,107.96292081106196,0.47990242060177485,132231751.4965612
7,19,52.59269807565386,0.01,42.23509381710961,0.45067565043399804,164455897.87666938
7,20,102.5262875278968,0.01,16.0,0.446441281750994,229537014.3019164
8,1,102.29143213000157,0.01,89.14425794073458,0.5,135082582.44466147
8,2,68.01318877121886,0.01,128.0,0.4326896297657327,130270899.01407252
8,3,87.19113895497894,0.01,46.08553326031039,0.4604549793499276,129204150.40059094
8,4,91.95581485647104,0.01,109.46308867524758,0.41920480305318863,117614478.25841348
8,5,109.10146843551689,0.01,32.38322963330009,0.4247174721811925,129710174.32131414
8,6,93.9406551699044,0.01,32.353364532998015,0.3931434574570552,118974268.12386486
8,7,100.21122252156107,0.01,16.0,0.4565229197457805,170988951.46693042
8,8,54.85719068145471,0.01,91.86594923744508,0.4502747727450782,133450290.17003876
8,9,81.44341310769907,0.01,59.90430746555427,0.4387192101173224,128636458.41855304
8,10,22.141806612970896,0.01,128.0,0.43002878164899305,214246785.11369857
8,11,106.86182784746057,0.01,38.86978345483843,0.47323760945227294,193911563.11186233
8,12,87.57853034425126,0.01,123.31926235914989,0.45760931382965786,149946087.2666767
8,13,80.27827062734059,0.01,65.49592871792566,0.49900189819361374,130488779.23998398
8,14,97.23959270486722,0.01,128.0,0.5,215496402.34760618
8,15,68.77696512340876,0.01,128.0,0.47948134238828716,114614603.9421074
8,16,81.19362774190805,0.01,44.68197644094696,0.4434359392320796,118273729.94103901
8,17,74.16682269338523,0.01,58.98631643959381,0.4303004641869841,132053524.72235577
8,18,69.73141442755409,0.01,82.63155759311437,0.48371273619477156,117771053.82959403
8,19,75.23482697773076,0.01,128.0,0.42913331710922775,126619606.06295073
8,20,66.63897283043454,0.01,35.402355104556236,0.44725313682845014,340136742.78211814
9,1,91.00260772511874,0.01,55.32750800253629,0.48165248660397636,157097221.83386752
9,2,122.67470488583423,0.01,16.0,0.4591908984981794,332275254.6163027
9,3,83.1024624375795,0.01,36.898003366116036,0.44579093182190493,122372140.35034391
9,4,88.80593705812134,0.01,66.86124693316017,0.5,184272863.90152577
